no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_asset_value
2,0,0,1.6147038157334632,1.6296807199438879,0.19232545595658013,1.035164451249944,0.9254808375257687
0,1,1,-0.34759495177310906,-0.3297089748087064,-0.5084067250673514,-1.0605415037137051,-0.8043833146909344
3,0,0,1.4363130186874113,1.607540723393011,1.5937898180044432,-0.5438716145398415,1.2847998008942234
3,0,0,1.1152095840045175,1.718240706147395,-0.5084067250673514,-0.7702775210317593,1.0281433984881843
5,1,1,1.6860601345518842,0.9986908182438998,1.5937898180044432,-1.2637262915910672,1.1462053435949624
0,0,1,-0.09784783590863622,-0.18579899722800744,-0.1580406345553856,-1.6294589097703192,0.06311532544147758
5,0,0,1.2936003810505696,1.9728506664824779,-1.209138906091283,0.4546364858860524,1.9572395751980456
2,0,1,0.22325559877425744,-0.019749023096431645,1.5937898180044432,-1.2637262915910672,0.20684291078885944
0,0,1,-1.5249742122770524,-1.436708802352545,1.5937898180044432,1.0583855698644997,-1.394693040224824
5,1,0,-1.4179397340494213,-1.204238838568339,-0.1580406345553856,-1.2288946136692338,-1.189367918299993
4,0,1,-0.7757328646836339,-0.4404089575630903,-1.5595049966032486,-0.30585514874064584,-0.37320055864878876
2,1,1,0.5800371928663615,0.8326408441123241,1.2434237274924773,-0.3581026656233961,0.7817532521783869
3,1,1,-0.0264915170902154,-0.3961289644613368,0.8930576369805117,-1.6759011469994305,0.1144466059226854
2,0,1,1.4363130186874113,1.8068006923509021,0.5426915464685459,0.4604417655396913,1.058942166776909
1,1,0,-1.132514458775738,-0.861068892029749,-0.8587728155793171,-0.7586669617244814,-1.117504125626302
5,1,0,-0.13352599531784662,-0.4957589489402822,-0.1580406345553856,1.1280489257081667,-0.11654415624274975
2,0,1,-1.6320086905046838,-1.5031287920051752,-1.209138906091283,0.3675572910814686,-1.5024887292353606
4,1,1,-0.7757328646836339,-0.6396689265209813,0.5426915464685459,1.046775010557222,-0.8197826988352968
2,0,0,-0.8470891835020548,-0.5400389420420357,-0.1580406345553856,0.7913427057971096,-1.1380366378187852
5,0,0,0.4373245552295199,-0.06402901619818518,0.19232545595658013,0.3036992148914405,0.5404962339167102
2,0,0,-0.0264915170902154,0.46733090102285735,0.19232545595658013,-1.6526800283848748,0.12984599006704772
4,0,0,0.25893375818346787,-0.1304490058508155,0.8930576369805117,-0.40454490285250744,0.5148305936761063
4,0,1,0.5086808740479407,1.1647407923754756,1.2434237274924773,-1.6759011469994305,0.5199637217242271
0,1,1,-1.6320086905046838,-1.525268788556052,-1.5595049966032486,-0.2826340301260902,-1.5281543694759645
0,1,0,-0.062169676499425806,-0.5953889334192277,0.8930576369805117,-1.6004325115021245,-0.3526680464563057
5,1,0,-0.7043765458652131,-0.6285989282455429,1.5937898180044432,-0.4974293773107301,-0.6401232171510693
